cousin;[ ˈkʌzn ];кузен
daughter;[ ˈdɔːtə(r) ];дочь
film;[ fɪlm ];фильм
TV;;ТЕЛЕВИДЕНИЕ
wotch;[ wɑːtʃ ];смотреть
when; [ wen ];когда
why;[ waɪ ];зачем
interesting;[ˈɪntrəstɪŋ];интересный
listen;[ ˈlɪsn ];слушать
music;[ ˈmjuːzɪk ];музыка
piano;[ piˈænoʊ ];пиано
programme;[ ˈproʊɡræm ];программа
work;[ wɜːrk ];работа
begin;[bɪˈgɪn];начинать
breakfast;[ˈbrekfəst];завтрак
dress;[dres];платье
finish;[ˈfɪnɪʃ];заканчивать
getup;[gɪˈtjuːp];наряд
home;[həʊm];домашний
lunch;[lʌnʧ];обед
be on time;[bi ɒn taɪm];быть вовремя
flat;[flæt];плоский
garden;[gɑːdn];сад
kitchen;[ˈkɪʧɪn];кухня
living room;[ˈlɪvɪŋ ruːm];гостиная
after;[ˈɑːftə];после
come;[kʌm];приходить
every;[ˈevrɪ];каждый
lesson;[lesn];урок
swimming pool;[ˈswɪmɪŋ puːl];бассейн
take;[teɪk];брать
wash;[wɔʃ];мыть
modern;[ˈmɔdən];современный
show;[ʃəʊ];шоу
hehind;[bɪˈhaɪnd];hehind
in front;[ɪn frʌnt];перед
left;[left];влево
moiddle;[mɪdl];moiddle
next;[nekst];следующий
right;[raɪt];право
armchir;[ˈɑːmˈʧɛə];armchir
bookcase;[ˈbʊkkeɪs];книжный шкаф
cupboard;[ˈkʌpəd];пусто
ready;[ˈredɪ];готовый
sofa;[ˈsəʊfə];диван
upstairs;[ˈʌpˈstɛəz];наверх
comfortable;[ˈkʌmfətəbl];удобный
sorry;[ˈsɔrɪ];изцините
messy;[ˈmesɪ];грязный
picture;[ˈpɪkʧə];картина
tidy;[ˈtaɪdɪ];аккуратный
wide;[waɪd];широкий
bed;[bed];кровать
belt;[belt];ремень
tent;[tent];палатка
ten;[ten];десять
bell;[bel];колокольчик
net;[net];сеть
nest;[nest];гнездо
egg;[eg];яйцо
desk;[desk];парта
pen;[pen];ручка
elf;[elf];эльф,фея
milk;[mɪlk];молоко
hill;[hɪl];холм
kid;[kɪd];ягнёнок
pig;[pɪg];свинья
six;[sɪks];шесть
wind;[wɪnd];ветер
tree;[triː];дерево
street;[striːt];улица
bee;[biː];пчела
sweet;[swiːt];конфета
dog;[dɔg];собака
box;[bɔks];коробка
fox;[fɔks];лиса
doll;[dɔl];кукла
frog;[frɔg];лягушка
pond;[pɔnd];пруд
troll;[trəʊl];троль
lorry;[ˈlɔrɪ];грузовик
bus;[bʌs];автобус
sun;[sʌn];солнце
jug;[ʤʌg];кувшин
cup;[kʌp];чашка
mug;[mʌg];кружка
a;[ə];
the;[ðiː];
ship;[ʃɪp];корабль
fish;[fɪʃ];рыба
dish;[dɪʃ];блюдо
shelf;[ʃelf];полка
sheep;[ʃiːp];овца
shop;[ʃɔp];магазин
cat;[kæt];кот,кошка
cap;[kæp];кепка
ant;[ænt];муравей
bag;[bæg];сумка
lamp;[læmp];лампа
van;[væn];фургон
map;[mæp];карта
hat;[hæt];шляпа
cock;[kɔk];петух
and;[ænd];и
clock;[klɔk];часы
sock;[sɔk];носок
duck;[dʌk];утка
black;[blæk];черный
red;[red];красный
